1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
520,0.0,1.0,2.0,0,2,520,,240,2,1920.0,520,2,6324,60.0,0.0,0,6,4,520,,1927,1950,68500
649,668.0,3.0,2.0,0,2,649,,250,2,1920.0,1317,3,8500,50.0,0.0,54,4,4,649,,1920,1950,40000
1228,0.0,3.0,2.0,0,2,1228,,271,2,1966.0,1228,4,8544,,0.0,65,6,5,1228,,1966,2006,149350
1234,0.0,3.0,4.0,0,2,1234,0.0,484,3,2007.0,1234,4,11049,85.0,0.0,30,5,8,1234,,2007,2007,179900
1700,0.0,4.0,2.0,1018,4,380,,447,3,1959.0,1700,4,10552,70.0,0.0,38,5,5,1398,,1959,1959,165500
1561,0.0,2.0,2.0,1153,7,408,,556,4,2005.0,1561,5,7313,60.0,246.0,47,5,9,1561,203.0,2005,2005,277500
1132,1320.0,4.0,4.0,0,2,1117,,691,1,2004.0,2452,4,13418,108.0,132.0,32,5,8,1117,,2004,2005,309000
1097,0.0,3.0,2.0,0,2,1097,,672,2,1995.0,1097,3,10859,112.0,0.0,64,5,5,1097,,1994,1995,145000
1297,0.0,,2.0,1213,4,84,0.0,498,4,1954.0,1297,3,8532,74.0,650.0,0,6,5,1297,,1954,1990,153000
1057,0.0,3.0,2.0,731,7,326,,246,2,1953.0,1057,4,7922,68.0,0.0,52,7,5,1057,,1953,2007,109000
1152,0.0,,1.0,0,1,0,,0,1,,1152,2,6040,65.0,0.0,0,5,4,0,,1955,1955,82000
1324,0.0,3.0,2.0,643,4,445,,440,1,1965.0,1324,3,8658,84.0,101.0,138,5,6,1088,0.0,1965,1965,160000
1328,,2.0,5.0,967,5,383,,308,1,1959.0,1328,3,16905,115.0,0.0,104,6,5,1350,,1959,1959,170000
884,0.0,2.0,4.0,747,6,0,,504,3,1983.0,884,4,9180,,0.0,0,7,5,840,240.0,1983,1983,144000
938,0.0,3.0,4.0,280,3,167,,308,2,1977.0,938,3,9200,,0.0,0,6,5,938,145.0,1975,1980,130250
1150,0.0,3.0,2.0,179,6,465,,300,3,1959.0,1150,3,7945,70.0,0.0,0,6,5,1150,,1959,1959,141000
1752,0.0,2.0,2.0,456,7,1296,,576,3,2005.0,1752,5,7658,61.0,412.0,82,5,9,1752,,2005,2005,319900
1518,631.0,1.0,2.0,1351,7,83,,670,3,2003.0,2149,4,12822,48.0,0.0,43,5,7,1434,,2003,2003,239686
1656,0.0,3.0,4.0,24,7,1632,,826,1,2006.0,1656,4,11096,84.0,0.0,146,5,8,1656,,2006,2006,249700
736,716.0,2.0,2.0,0,2,736,,0,1,,1452,3,4456,33.0,0.0,0,5,4,736,,1920,2008,113000
955,0.0,3.0,2.0,763,5,192,,386,2,1966.0,955,3,7742,66.0,0.0,0,7,5,955,,1966,1966,127000
794,676.0,,4.0,182,7,612,,388,4,1997.0,1470,3,13869,,0.0,75,6,6,794,,1997,1997,177000
816,0.0,3.0,2.0,0,2,816,,528,2,1985.0,1176,3,6240,52.0,0.0,0,6,6,816,,1934,1950,114500
816,0.0,2.0,5.0,104,3,0,,516,2,1963.0,816,3,8472,110.0,0.0,0,5,5,816,,1963,1963,110000
1842,0.0,0.0,5.0,1810,7,32,,894,4,1981.0,1842,4,50271,68.0,0.0,72,5,9,1842,,1981,1987,385000
1360,0.0,,2.0,384,6,0,,572,2,1962.0,1360,3,7134,60.0,0.0,50,5,5,384,,1955,1955,130000
1425,0.0,3.0,2.0,490,1,935,,576,3,1964.0,1425,3,10175,100.0,272.0,0,5,6,1425,,1964,1964,180500
983,756.0,3.0,2.0,649,7,321,,480,4,1999.0,1739,4,2645,24.0,456.0,0,5,8,970,,1999,2000,172500
860,,3.0,2.0,0,2,860,,565,3,2004.0,1720,4,11645,89.0,0.0,70,5,7,860,,2004,2004,196500
1426,1519.0,3.0,5.0,0,2,1410,,641,4,2006.0,2945,4,13682,66.0,1031.0,0,5,10,1410,,2006,2006,438780
780,0.0,2.0,4.0,632,6,148,,352,2,1973.0,780,3,7200,60.0,0.0,0,7,5,780,196.0,1972,1972,124900
1158,0.0,3.0,2.0,941,6,217,,576,2,2006.0,1158,4,13072,63.0,0.0,50,5,6,1158,,2004,2004,158000
581,530.0,3.0,2.0,0,2,530,,288,2,1935.0,1111,2,7200,60.0,0.0,0,7,5,530,,1920,1996,101000
1370,0.0,2.0,3.0,24,7,1346,,484,3,2006.0,1370,4,6442,44.0,178.0,49,5,8,1370,,2006,2006,202500
902,808.0,3.0,2.0,0,2,576,,480,2,1990.0,1710,3,10300,50.0,0.0,11,6,7,576,,1921,1950,140000
1057,977.0,,2.0,739,7,318,0.0,645,3,1998.0,2034,4,9375,,573.0,36,5,7,1057,,1997,1998,219500
1143,1330.0,4.0,4.0,0,2,1143,,852,1,2004.0,2473,4,9591,76.0,344.0,151,5,8,1143,,2004,2005,317000
2207,0.0,3.0,5.0,912,7,1035,,576,3,1970.0,2207,3,19900,,287.0,0,5,7,1947,,1970,1989,180000
1479,0.0,3.0,4.0,1013,7,440,,558,3,2003.0,1479,4,10665,72.0,167.0,29,5,7,1453,,2003,2003,226000
747,0.0,2.0,2.0,0,2,747,,220,2,1945.0,747,3,4608,47.0,0.0,0,6,4,747,,1945,1950,80000
1304,983.0,,2.0,603,5,701,,667,4,1953.0,2287,3,15593,81.0,0.0,21,4,7,1304,,1953,1953,225000
2223,0.0,3.0,5.0,1880,6,343,,516,4,1973.0,2223,3,13651,95.0,1115.0,0,6,7,2223,300.0,1973,1973,244000
845,0.0,2.0,2.0,565,6,280,0.0,360,2,1987.0,845,3,7599,69.0,0.0,0,6,4,845,,1982,2006,129500
885,833.0,3.0,2.0,0,2,832,,427,4,1998.0,1718,3,10141,74.0,40.0,94,5,7,832,,1998,1998,185000
1086,0.0,3.0,2.0,320,6,404,0.0,490,2,1989.0,1086,3,10200,85.0,104.0,0,7,5,1086,,1954,2003,144900
840,765.0,3.0,2.0,0,2,840,,379,2,1915.0,1605,3,5790,60.0,0.0,0,6,3,840,0.0,1915,1950,107400
526,462.0,2.0,5.0,462,7,0,,297,2,1973.0,988,3,1596,21.0,0.0,101,5,4,462,,1973,1973,91000
952,0.0,2.0,2.0,228,6,724,,283,2,1956.0,952,3,8475,,0.0,0,7,4,952,,1956,1956,135750
1072,213.0,2.0,2.0,336,5,295,,240,2,1948.0,1285,3,8635,50.0,0.0,0,5,5,672,,1948,2001,127000
1768,0.0,4.0,2.0,0,2,1768,,0,1,,1768,3,10778,72.0,0.0,0,5,4,1768,,1968,1968,136500
682,548.0,2.0,2.0,0,2,440,,440,2,1966.0,1230,3,10440,60.0,0.0,0,6,5,440,,1910,1981,110000
1182,960.0,,2.0,448,4,448,,509,4,1968.0,2142,4,13000,100.0,576.0,72,6,6,896,,1968,1968,193500
1337,0.0,2.0,2.0,1201,7,36,,405,4,1998.0,1337,3,4500,32.0,443.0,199,5,6,1237,,1998,1998,153500
1563,0.0,3.0,2.0,33,7,1530,,758,3,2007.0,1563,4,10206,78.0,468.0,99,5,8,1563,,2007,2007,245000
1065,0.0,3.0,2.0,0,2,1065,,461,2,1974.0,1065,3,8892,80.0,66.0,0,5,5,1065,,1960,1960,126500
804,670.0,3.0,2.0,0,2,384,,400,4,1995.0,1474,3,8530,,22.0,72,5,7,384,120.0,1995,1996,168500
1301,1116.0,4.0,2.0,0,2,1288,,462,2,1991.0,2417,4,16059,121.0,284.0,82,5,8,1288,127.0,1991,1992,260000
684,876.0,3.0,4.0,0,2,684,,400,4,2005.0,1560,4,11911,122.0,0.0,38,5,6,684,,2005,2005,174000
612,612.0,,4.0,0,2,612,,528,3,2009.0,1224,4,3951,40.0,76.0,234,5,6,612,,2009,2009,164500
1013,0.0,2.0,2.0,0,2,1013,,0,1,,1526,2,8470,105.0,0.0,0,2,3,1013,,1915,1982,85000
990,0.0,3.0,2.0,588,1,402,,0,1,,990,3,8070,60.0,0.0,0,5,4,990,,1994,1995,123600
1040,0.0,2.0,1.0,0,1,0,,420,2,1950.0,1040,3,7200,60.0,0.0,29,5,4,0,,1950,1950,109900
1235,0.0,2.0,2.0,600,4,635,0.0,480,2,1961.0,1235,3,8500,85.0,203.0,0,3,5,1235,,1961,1961,98600
964,0.0,2.0,2.0,713,6,163,,432,2,1921.0,964,3,13360,80.0,0.0,0,7,5,876,,1921,2006,163500
1260,1031.0,4.0,3.0,1046,4,168,,506,2,1900.0,2291,3,7200,60.0,0.0,0,6,6,1214,,1910,1998,133900
905,881.0,3.0,2.0,648,7,176,,684,3,1997.0,1786,4,9337,69.0,0.0,162,5,6,824,,1997,1997,204750
680,790.0,3.0,2.0,310,1,370,,420,4,1993.0,1470,3,9765,,68.0,63,8,6,680,,1993,1993,185000
1588,,,4.0,1162,6,426,,472,3,1999.0,1588,4,10264,78.0,183.0,29,5,7,1588,,1999,1999,214000
960,0.0,3.0,2.0,520,4,440,,432,4,1965.0,960,3,10921,73.0,48.0,0,5,4,960,,1965,1965,94750
835,0.0,2.0,2.0,108,6,350,,366,2,1920.0,835,3,10625,85.0,0.0,0,5,5,458,0.0,1920,1950,83000
1225,0.0,3.0,2.0,569,6,381,,0,1,,1225,3,9320,77.0,0.0,0,5,4,950,,1959,1959,128950
1610,0.0,3.0,3.0,1200,6,410,,480,3,1977.0,1610,4,10603,,28.0,68,7,6,1610,,1977,2001,205000
977,755.0,3.0,2.0,0,1,741,,476,4,1985.0,1732,4,9206,77.0,336.0,46,5,6,741,,1985,1985,178000
1535,0.0,4.0,1.0,0,1,0,,410,2,1979.0,1535,3,7018,64.0,0.0,0,5,5,0,,1979,1979,118964
1226,0.0,,2.0,0,2,1226,,740,3,2009.0,1226,4,10402,94.0,0.0,36,5,7,1226,,2009,2009,198900
1226,592.0,4.0,2.0,224,3,816,,240,1,1951.0,1818,3,7758,,600.0,0,4,7,1040,,1931,1950,169500
1053,,3.0,2.0,0,2,1053,,648,3,2003.0,1992,4,9375,75.0,768.0,45,5,8,1053,,2003,2004,250000
1047,0.0,2.0,2.0,0,2,641,,273,2,1954.0,1047,3,10800,60.0,0.0,0,7,4,641,,1885,1995,100000
789,0.0,2.0,2.0,104,6,516,,250,2,1948.0,789,3,6000,50.0,0.0,0,5,5,789,,1948,1950,115000
997,,3.0,2.0,0,2,793,,0,1,,1517,2,8500,85.0,0.0,0,7,5,793,,1919,2005,115000
1844,0.0,3.0,2.0,705,5,1139,,546,3,1977.0,1844,3,11751,105.0,480.0,122,6,6,1844,,1977,1977,190000
1216,639.0,4.0,2.0,444,4,550,,325,2,1954.0,1855,3,9525,75.0,0.0,0,4,6,994,,1954,1972,136900
774,656.0,3.0,2.0,250,7,134,,400,4,2000.0,1430,3,7750,,0.0,0,5,7,384,,2000,2000,180000
1282,1414.0,4.0,4.0,984,7,280,,792,1,2007.0,2696,5,9965,77.0,220.0,184,5,7,1264,,2007,2007,383970
2259,0.0,3.0,3.0,35,1,905,,450,2,1953.0,2259,4,21000,,184.0,120,5,6,1809,,1953,1953,217000
1436,884.0,3.0,2.0,774,6,104,,180,2,1945.0,2320,4,7259,61.0,0.0,0,8,6,1028,,1945,2002,259500
729,729.0,2.0,2.0,419,7,310,,440,2,1999.0,1458,3,3230,34.0,1129.0,32,5,6,729,,1999,1999,176000
1092,0.0,3.0,2.0,170,3,252,,288,2,1962.0,1092,3,11616,,116.0,20,5,5,1092,,1962,1962,139000
1125,0.0,2.0,2.0,0,2,1125,,430,2,2007.0,1125,3,8536,74.0,0.0,64,5,5,1125,,2006,2007,155000
1699,1523.0,5.0,3.0,1470,7,203,,594,2,1990.0,3222,4,12376,90.0,0.0,0,5,7,1673,,1990,1990,320000
728,728.0,3.0,2.0,0,2,728,,390,4,2005.0,1456,4,8461,65.0,0.0,24,5,6,728,,2005,2006,163990
988,0.0,1.0,5.0,938,6,0,,540,2,1969.0,988,3,21453,,0.0,130,5,6,938,0.0,1969,1969,180000
772,351.0,3.0,2.0,0,2,732,,264,2,1979.0,1123,3,6060,50.0,0.0,0,5,4,732,,1939,1950,100000
1080,0.0,3.0,2.0,570,5,510,,288,2,1958.0,1080,3,9464,75.0,135.0,0,7,6,1080,,1958,1958,136000
1199,0.0,2.0,2.0,300,7,899,,530,3,1993.0,1199,4,7892,55.0,0.0,63,5,6,1199,,1993,1993,153900
1586,0.0,3.0,2.0,0,1,1362,,435,2,1979.0,1586,3,17043,48.0,0.0,0,5,6,1362,192.0,1979,1998,181000
520,0.0,2.0,4.0,490,7,30,,0,1,,754,3,6780,60.0,0.0,0,8,6,520,,1935,1982,84500
958,,2.0,2.0,120,6,958,,440,3,1977.0,958,3,4928,,0.0,205,5,6,1078,0.0,1976,1976,128000
840,0.0,3.0,2.0,116,3,556,,0,1,,840,3,4388,55.0,0.0,0,7,5,672,,1930,1950,87000
660,688.0,3.0,2.0,512,5,148,,453,3,1966.0,1348,3,7590,69.0,266.0,108,5,6,660,,1966,1966,155000
1053,,3.0,2.0,567,4,413,,750,3,1998.0,1053,5,8973,69.0,85.0,80,7,5,1008,,1958,1991,150000
1216,941.0,4.0,2.0,445,4,479,,487,1,1966.0,2157,4,14200,88.0,309.0,66,6,7,924,,1966,1966,226000
1022,1032.0,3.0,2.0,695,7,297,,390,3,2000.0,2054,4,12224,,40.0,48,5,6,992,,2000,2000,244000
1327,0.0,,2.0,405,4,658,,624,2,1974.0,1327,4,7388,75.0,0.0,0,6,5,1063,,1959,2002,150750
1296,0.0,2.0,2.0,1005,7,262,,471,4,2001.0,1296,4,6853,,136.0,25,5,8,1267,,2001,2002,220000
1721,0.0,3.0,2.0,570,4,891,,440,3,1968.0,1721,3,10335,78.0,0.0,96,6,5,1461,,1968,1993,180000
1682,0.0,3.0,2.0,0,2,1304,,530,2,1970.0,1682,3,10400,80.0,288.0,0,6,7,1304,,1970,1970,174000
1214,,,2.0,695,5,519,0.0,318,3,1967.0,1214,3,10355,,196.0,111,5,5,1214,,1967,1967,143000
1959,0.0,5.0,2.0,0,2,1907,,766,2,1989.0,1959,3,11070,82.0,70.0,0,5,7,1907,,1988,1989,171000
1004,848.0,3.0,3.0,668,7,336,,660,4,1999.0,1852,4,9066,73.0,320.0,106,5,8,1004,,1999,2000,230000
928,836.0,3.0,2.0,821,7,107,,470,3,1997.0,1764,4,15426,65.0,0.0,99,5,6,928,,1997,1997,231500
864,0.0,3.0,2.0,432,6,432,,0,1,,864,3,10500,70.0,0.0,0,5,4,864,,1971,1971,115000
1734,0.0,3.0,4.0,1300,7,434,,660,1,2005.0,1734,4,11645,78.0,0.0,24,5,7,1734,,2005,2005,260000
910,,4.0,2.0,507,4,403,,720,2,2000.0,1385,3,8520,71.0,0.0,0,4,5,910,,1952,1952,166000
1501,0.0,3.0,5.0,679,7,811,,577,3,1999.0,1501,4,10335,78.0,183.0,29,5,7,1490,,1999,1999,204000
1728,0.0,6.0,2.0,1332,4,396,,504,2,1963.0,1728,3,9100,70.0,336.0,0,5,5,1728,0.0,1963,1963,125000
970,739.0,3.0,2.0,0,2,970,,380,2,2004.0,1709,4,2522,24.0,50.0,40,5,6,970,,2004,2006,130000
875,0.0,2.0,2.0,209,5,506,,180,2,1931.0,875,3,6120,51.0,0.0,0,7,5,715,,1931,1993,105000
884,1151.0,3.0,2.0,0,2,884,,434,4,2001.0,2035,4,9505,,180.0,48,5,7,884,,2001,2001,222500
1080,0.0,3.0,2.0,680,7,400,0.0,0,1,,1080,4,7500,63.0,120.0,0,5,7,1080,,2004,2005,141000
896,448.0,3.0,2.0,0,2,896,,240,1,1936.0,1344,3,6240,,0.0,114,4,5,896,,1936,1950,115000
969,0.0,3.0,4.0,716,5,253,,440,2,1975.0,969,3,10356,120.0,0.0,0,6,5,969,,1975,1975,122000
1710,0.0,2.0,5.0,1400,1,310,,866,3,2007.0,1710,4,13891,107.0,436.0,102,5,8,1710,,2007,2008,372402
1097,896.0,4.0,2.0,416,4,409,,495,3,1971.0,1993,3,14803,,252.0,66,5,6,825,,1971,1971,190000
1252,0.0,1.0,5.0,429,5,93,,564,3,1960.0,1252,3,13500,,0.0,0,7,6,1602,,1960,1975,235000
1200,0.0,4.0,2.0,0,2,1200,,312,2,1923.0,1200,3,11340,84.0,0.0,0,5,6,1200,,1923,1950,125000
572,524.0,2.0,2.0,0,2,572,,0,1,,1096,3,9600,60.0,0.0,8,5,6,572,,1924,1950,79000
1040,0.0,2.0,1.0,0,1,0,,625,2,1950.0,1040,3,7200,60.0,0.0,0,7,5,0,,1950,1950,109500
774,1194.0,4.0,2.0,0,1,774,,680,4,2009.0,1968,5,12003,92.0,84.0,75,5,8,774,,2009,2010,269500
991,956.0,3.0,2.0,222,7,769,,678,3,2004.0,1947,4,12552,100.0,0.0,136,5,7,991,,2004,2005,254900
1392,1070.0,4.0,3.0,57,7,1335,,576,3,2006.0,2462,4,19378,134.0,456.0,132,5,7,1392,,2005,2006,320000
1232,0.0,3.0,2.0,660,5,572,,516,2,1984.0,1232,3,11120,,0.0,0,6,6,1232,,1984,1984,162500
1572,1096.0,3.0,4.0,1016,7,556,,726,4,2003.0,2668,5,13688,110.0,664.0,0,5,9,1572,,2003,2004,412500
1541,0.0,3.0,3.0,1201,1,340,,532,1,2005.0,1541,4,12182,95.0,226.0,70,5,7,1541,,2005,2005,220000
882,0.0,1.0,2.0,0,2,882,,0,1,,882,3,5500,55.0,0.0,0,6,4,882,,1956,1956,103200
1149,467.0,3.0,3.0,370,3,779,,216,2,1926.0,1616,4,5400,40.0,0.0,0,7,6,1149,,1926,2004,152000
808,547.0,4.0,2.0,351,6,112,,0,1,,1355,3,10106,62.0,0.0,0,7,5,644,,1940,1999,127500
1867,0.0,2.0,2.0,379,3,470,,303,4,1955.0,1867,3,10708,,0.0,0,5,5,1617,,1955,1993,190000
1610,551.0,3.0,2.0,1288,7,294,,789,4,2007.0,2161,5,10562,86.0,300.0,120,5,8,1582,,2007,2007,325624
840,880.0,3.0,2.0,0,2,840,,440,4,2004.0,1720,4,8244,62.0,0.0,48,5,7,840,,2004,2004,183500
1707,0.0,2.0,2.0,0,2,1686,,511,3,1981.0,1707,3,16669,,653.0,64,6,8,1686,,1981,1981,228000
854,0.0,2.0,2.0,360,4,360,,660,1,1991.0,1382,3,12358,,0.0,0,6,5,720,,1941,1950,128500
1656,0.0,3.0,5.0,639,5,441,,528,4,1960.0,1656,3,31770,141.0,112.0,62,5,6,1080,,1960,1960,215000
1064,703.0,2.0,2.0,495,7,354,,504,3,1987.0,1767,4,5306,44.0,0.0,35,7,7,1064,,1987,1987,239000
1362,0.0,,2.0,288,6,700,,504,1,1961.0,1362,3,10197,80.0,491.0,20,5,6,1362,,1961,1961,163000
1651,0.0,3.0,2.0,1398,6,0,,616,4,1986.0,1651,3,12416,47.0,132.0,0,5,6,1606,,1986,1986,184000
2158,0.0,4.0,4.0,477,6,725,,576,2,1950.0,2158,4,12615,84.0,0.0,29,7,6,1202,,1950,2001,243000
1164,896.0,4.0,2.0,831,7,320,,521,1,1988.0,2060,3,10029,97.0,268.0,228,5,6,1151,0.0,1988,1989,211000
1252,668.0,4.0,2.0,57,6,554,,451,2,1958.0,1920,4,13650,,0.0,0,5,5,1052,,1958,1958,172500
2234,0.0,1.0,2.0,1904,7,312,,1166,4,2009.0,2234,5,17423,63.0,748.0,60,5,9,2216,,2008,2009,501837
968,0.0,2.0,2.0,0,2,968,,480,2,1935.0,968,3,8520,60.0,0.0,0,6,5,968,,1923,2006,100000
769,756.0,3.0,2.0,436,7,320,,440,2,2000.0,1525,4,2117,,456.0,0,5,6,756,,2000,2000,177000
901,901.0,4.0,2.0,352,3,441,,216,2,1920.0,1802,3,7588,54.0,0.0,0,6,7,793,0.0,1920,1950,200100
1340,0.0,3.0,1.0,0,1,0,,252,1,1957.0,1340,3,9060,60.0,98.0,0,6,5,0,,1957,2006,120000
1362,720.0,3.0,2.0,0,2,1362,,484,2,2003.0,2082,4,11426,63.0,0.0,238,5,7,1362,,2003,2003,200000
936,316.0,3.0,2.0,0,2,504,,576,2,1986.0,1252,3,7438,92.0,0.0,0,8,5,504,104.0,1908,1991,127000
1518,1518.0,4.0,3.0,0,2,1107,,840,2,1993.0,3608,5,22950,90.0,0.0,260,9,10,1107,,1892,1993,475000
1217,0.0,3.0,4.0,611,7,577,,497,2,1990.0,1217,4,9947,,0.0,27,5,7,1188,,1990,1991,173000
808,704.0,3.0,2.0,0,2,660,,180,2,1916.0,1656,3,10410,60.0,0.0,0,7,5,660,0.0,1916,1987,135000
1224,0.0,2.0,4.0,1086,7,0,,528,2,1979.0,1224,3,7018,64.0,275.0,0,5,5,1086,,1979,1979,153337
1593,0.0,0.0,4.0,1153,7,440,,682,4,2001.0,1593,5,4923,41.0,0.0,120,5,8,1593,,2001,2002,286000
1549,1178.0,3.0,2.0,297,4,556,,440,2,1932.0,2727,4,10570,70.0,0.0,74,8,8,853,,1932,1994,315000
725,754.0,4.0,2.0,626,6,99,,484,4,1972.0,1479,4,7472,,138.0,32,9,7,725,,1972,2004,184000
1431,0.0,3.0,4.0,560,7,871,,666,4,1999.0,1431,4,9017,68.0,0.0,35,5,7,1431,,1999,1999,192000
970,739.0,,2.0,0,2,970,,380,2,2004.0,1709,4,2522,24.0,50.0,40,5,7,970,,2004,2004,130000
864,0.0,3.0,4.0,390,6,474,,352,2,1989.0,864,3,7180,60.0,0.0,0,7,5,864,,1972,1972,127000
855,,3.0,2.0,566,6,289,,440,1,1976.0,1456,3,2280,24.0,0.0,0,6,6,855,,1976,1976,148500
1726,0.0,3.0,2.0,1126,1,600,0.0,786,1,2007.0,1726,5,9416,79.0,205.0,138,5,7,1726,,2007,2007,311872
1360,1360.0,,2.0,1036,1,140,,795,2,1918.0,3112,4,25419,174.0,0.0,16,4,8,1360,,1918,1990,235000
929,929.0,5.0,2.0,0,2,755,,0,1,,2229,3,5520,92.0,0.0,198,6,6,755,,1912,1950,104000
1713,0.0,3.0,4.0,1088,7,625,,856,4,2004.0,1713,5,9591,76.0,262.0,26,5,8,1713,,2004,2005,274900
1121,0.0,2.0,2.0,0,2,1121,,440,3,2003.0,1121,3,8546,80.0,0.0,64,5,4,1121,,2003,2004,140000
1279,0.0,3.0,2.0,641,6,276,,473,2,1980.0,1279,3,10125,75.0,0.0,83,6,6,1196,,1977,1977,171500
865,445.0,2.0,2.0,617,3,0,,398,2,1924.0,1310,3,7000,50.0,0.0,0,6,6,617,,1924,1950,112000
848,0.0,1.0,4.0,662,7,186,0.0,420,3,2004.0,848,4,4438,,205.0,0,5,6,848,,2004,2004,149000
720,564.0,2.0,2.0,312,3,408,,240,2,1948.0,1284,3,3500,50.0,0.0,35,7,5,720,,1947,1950,110000
1442,0.0,3.0,2.0,0,2,1424,,500,1,1990.0,1442,3,11851,99.0,0.0,34,5,7,1424,,1990,1990,180500
1696,0.0,3.0,2.0,0,2,1140,,349,1,1962.0,1696,3,13673,40.0,0.0,30,5,5,1140,,1962,1962,143900
1100,0.0,3.0,2.0,419,6,375,,312,3,1960.0,1100,3,12493,,0.0,0,5,4,1100,355.0,1960,1960,141000
1180,,3.0,5.0,1065,7,92,,454,1,1988.0,2062,3,14364,,128.0,55,5,7,1157,,1988,1989,277000
1092,0.0,3.0,2.0,787,4,305,,504,3,1964.0,1092,3,8250,75.0,260.0,0,7,6,1092,,1964,1964,145000
