1stFlrSF,2ndFlrSF,BsmtFinSF1,GarageArea,GrLivArea,LotArea,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice
1668,0.0,370,502,1668,10635,5,8,1657,2003,232000
1493,0.0,994,508,1493,13125,5,6,1478,1997,208900
932,0.0,0,306,932,8280,5,6,932,1950,124000
1277,0.0,778,526,1277,10628,5,7,1277,1970,167000
1530,0.0,1300,630,1530,14572,5,7,1530,2004,259000
1344,0.0,457,484,1344,9503,5,5,1024,1958,144000
860,0.0,672,528,860,8740,6,5,840,1982,137000
1314,0.0,904,626,1314,5001,5,7,1314,2007,230000
1391,571.0,464,868,1962,8760,5,7,1391,2006,239799
788,702.0,724,388,1490,15384,5,7,788,2004,184000
848,0.0,662,420,848,4426,5,6,848,2004,143000
672,0.0,0,240,672,10200,8,5,672,1940,108000
1188,1152.0,275,252,2340,9042,9,7,1152,1941,266500
808,704.0,0,180,1656,10410,7,5,660,1916,135000
725,754.0,626,484,1479,7472,9,7,725,1972,184000
1226,0.0,0,740,1226,10402,5,7,1226,2009,198900
976,1111.0,568,444,2087,12205,8,6,832,1966,187500
1158,0.0,941,576,1158,13072,5,6,1158,2004,158000
1154,0.0,740,480,1154,11000,6,5,1154,1966,154000
880,844.0,0,527,1724,8924,5,7,880,1998,188000
773,885.0,219,431,1658,8000,5,6,773,1995,188000
1126,0.0,0,520,1126,8777,5,4,0,1949,108000
872,521.0,0,300,1393,16466,7,5,816,1955,135500
1968,1479.0,192,1014,3447,14100,9,8,728,1935,381000
483,504.0,309,264,987,1953,5,6,483,1973,83000
808,547.0,351,0,1355,10106,7,5,644,1940,127500
2069,0.0,425,505,2069,27650,7,7,585,1960,242000
757,348.5240174672489,549,440,1501,2280,5,7,744,1999,179400
1976,0.0,1350,908,1976,14977,5,8,1976,2006,440000
1563,0.0,33,758,1563,10206,5,8,1563,2007,245000
572,539.0,0,288,1111,5700,7,7,572,1926,116900
851,651.0,0,270,1502,7200,6,7,776,1931,149000
1733,0.0,0,452,1733,13680,5,3,0,1955,139600
1848,880.0,1410,706,2728,20431,5,9,1848,2005,437154
630,672.0,231,264,1302,1680,7,5,630,1972,119500
1332,192.0,1258,586,1524,23595,6,7,1332,1979,260000
1120,468.0,0,680,1588,17120,4,4,0,1959,134432
1125,0.0,0,430,1125,8536,5,5,1125,2006,155000
520,600.0,0,480,1200,3180,5,7,600,2005,151000
798,842.0,0,520,1640,8366,5,6,798,2004,173000
1223,904.0,1000,525,2127,10944,5,7,1223,1994,271000
972,0.0,680,240,972,8000,6,6,972,1948,132000
1142,878.0,584,466,2020,9828,5,8,1128,1995,239500
1144,348.5240174672489,739,596,1144,9571,6,5,1144,1956,129000
1352,0.0,300,288,1352,6930,4,5,1062,1958,130000
926,0.0,234,484,1316,5500,7,5,926,1929,130000
1086,838.0,956,592,1924,12011,5,8,1086,1998,280000
1164,0.0,1040,240,1164,10880,5,5,1164,1950,125000
952,0.0,852,840,952,7350,7,5,952,1951,139000
938,1215.0,259,0,2358,5250,5,8,684,1872,122000
1680,0.0,808,540,1680,21695,9,6,880,1988,222000
1221,691.0,0,672,1912,10800,7,6,482,1905,163000
1004,0.0,578,480,1004,11241,7,6,1004,1970,149000
774,456.0,384,305,1230,4712,7,4,747,1946,121600
1167,0.0,645,495,1167,8731,5,5,915,1920,144000
1301,0.0,405,440,1301,6911,5,5,1145,1924,100000
1453,0.0,1082,445,1453,5271,5,7,1453,1986,190000
1601,0.0,1358,670,1601,11423,5,8,1581,2001,272000
1588,0.0,0,825,1588,10000,5,8,1588,2006,227000
1095,0.0,513,264,1095,10382,5,6,588,1958,140000
1050,0.0,915,368,1050,10659,6,5,1050,1961,136500
960,0.0,520,432,960,10921,5,4,960,1965,94750
1002,454.0,0,280,1456,7585,3,5,810,1948,91500
1489,0.0,0,462,1489,9156,7,6,1489,1968,185750
1726,0.0,1126,786,1726,9416,5,7,1726,2007,311872
1362,720.0,0,484,2082,11426,5,7,1362,2003,200000
1339,0.0,1053,484,1339,8049,5,7,1309,1990,180000
1310,1140.0,781,1069,2450,16545,5,8,1284,1998,340000
879,984.0,0,660,1863,14054,5,7,879,2006,219210
768,0.0,656,396,768,8445,7,5,768,1972,133000
334,0.0,0,0,334,5000,3,1,0,1946,39300
1136,0.0,892,384,1136,9200,6,6,1136,1965,140000
1337,0.0,1201,405,1337,4500,5,6,1237,1998,153500
912,0.0,312,288,912,7800,5,5,912,1964,115000
876,936.0,540,264,1812,7590,5,5,864,1962,169500
1052,720.0,378,240,2192,8400,8,5,720,1939,179500
658,526.0,0,0,1184,8410,3,5,658,1910,81000
964,925.0,0,308,1889,10120,4,7,925,1910,122000
1327,0.0,405,624,1327,7388,6,5,1063,1959,150750
1422,0.0,588,576,1422,12090,6,6,1422,1981,175500
1632,0.0,0,576,1632,25000,4,5,1632,1967,143000
1630,0.0,0,451,1630,9750,5,7,1630,2000,213000
1013,0.0,0,0,1526,8470,2,3,1013,1915,85000
1040,0.0,0,420,1040,7200,5,4,0,1949,90000
841,806.0,0,216,1647,6858,4,6,806,1915,128000
1328,653.0,622,576,1981,7804,3,4,1122,1928,135000
1644,0.0,1285,418,1644,9600,5,6,1416,1953,167000
1482,1092.0,0,868,2574,9588,5,8,1482,2007,276000
1060,764.0,0,520,1824,13515,6,6,764,1919,180500
1350,0.0,624,520,1350,9020,5,6,1248,1964,168500
958,0.0,958,440,958,4928,6,6,958,1976,143750
1053,795.0,0,370,1848,13053,7,6,833,1923,207000
1620,0.0,1116,490,1620,9991,4,4,1281,1976,150000
1167,0.0,560,400,1167,9248,6,6,1158,1992,173000
798,348.5240174672489,94,220,1487,8741,4,6,735,1945,113000
892,0.0,432,288,892,7150,5,5,892,1967,100000
804,0.0,510,240,804,7200,7,5,788,1940,119000
1140,0.0,0,0,1140,17217,5,5,1140,2006,84500
983,813.0,400,483,1796,7056,5,6,780,1963,140000
1118,912.0,156,551,2030,12046,6,6,848,1976,195000
1026,981.0,765,812,2007,11003,5,10,1017,2008,310000
691,0.0,0,216,691,5400,6,5,691,1920,86000
786,348.5240174672489,0,676,1590,9000,5,8,768,2008,210000
1216,639.0,444,325,1855,9525,4,6,994,1954,136900
1028,776.0,0,442,1804,7500,5,7,994,1999,189000
884,884.0,550,543,1768,8158,5,7,884,2003,224900
1831,1796.0,1387,807,3627,35760,5,10,1930,1995,625000
1298,348.5240174672489,1258,403,1298,11200,5,6,1298,1985,180000
1801,0.0,1247,484,1801,15602,8,7,1501,1959,289000
630,0.0,553,0,630,1533,7,5,630,1970,92000
1103,0.0,397,440,1103,6000,6,6,1103,1925,110500
859,319.0,0,384,1178,8712,7,4,859,1900,102776
1196,0.0,197,440,1196,4800,7,4,1196,1916,109900
1372,348.5240174672489,0,529,1372,8640,5,7,1372,2007,250580
1431,0.0,371,296,1431,9150,5,6,1099,1962,165000
1422,0.0,0,626,1422,8500,5,7,1422,2004,179600
1079,874.0,985,501,1953,53107,5,6,1580,1992,240000
1121,0.0,0,440,1121,8546,5,4,1121,2003,140000
1143,1330.0,0,852,2473,9591,5,8,1143,2004,317000
1057,0.0,417,576,1057,7420,5,5,1057,1962,132000
1110,0.0,1097,602,1110,9101,6,5,1097,1978,165500
1164,1106.0,524,671,2270,11764,7,8,1152,1999,290000
2018,0.0,0,746,2018,13214,5,9,2002,2008,378500
672,714.0,438,440,1386,11616,5,6,672,1978,158900
1082,871.0,0,1043,1953,10574,5,8,1082,2005,252000
1337,0.0,733,462,1337,5395,5,8,1337,1993,180000
997,1288.0,0,648,2285,11000,5,8,969,2000,248000
1718,0.0,1288,826,1718,10637,5,8,1705,2007,297000
1086,0.0,516,484,1086,13400,5,5,1024,1966,159950
1555,0.0,0,660,1555,3684,5,7,1373,2007,174000
1902,0.0,1406,567,1902,17500,8,7,1902,1959,335000
1298,1216.0,1216,693,2514,11170,5,7,1216,1990,250000
1224,0.0,1086,528,1224,7018,5,5,1086,1979,153337
1054,0.0,602,460,1054,9750,8,6,1054,1969,151000
1276,1336.0,854,676,2612,12203,5,8,1225,1998,336000
902,0.0,599,288,902,6173,6,5,876,1967,125500
1153,348.5240174672489,692,484,2353,13005,7,7,845,1980,260000
689,703.0,378,299,1392,10900,7,6,689,1977,161750
1155,0.0,899,576,1155,11782,7,5,1109,1961,148000
1136,768.0,180,240,1904,7200,4,5,1208,1950,138000
950,208.0,0,208,1158,6000,7,6,862,1929,120000
751,611.0,0,502,1362,6155,8,6,611,1920,128000
1005,1286.0,0,429,2291,8738,5,7,975,1999,230000
649,668.0,0,250,1317,8500,4,4,649,1920,40000
1734,0.0,1004,928,1734,12085,5,8,1734,2007,318000
1194,0.0,0,312,1194,8760,6,6,1194,1959,148000
876,540.0,0,720,1416,12665,8,5,876,1915,153900
1383,0.0,1064,354,1383,13284,5,5,1383,1954,165000
1001,1001.0,284,871,2002,6270,6,5,1001,1949,145000
1496,0.0,0,474,1496,9158,5,8,1496,2007,225000
984,620.0,408,660,1604,10998,5,5,984,1941,117000
764,0.0,0,504,764,5232,5,5,680,1925,73000
977,755.0,0,476,1732,9206,5,6,741,1985,178000
1494,0.0,0,840,1494,10652,5,7,1494,2006,279500
986,0.0,0,180,986,6180,5,6,960,1926,102000
1145,0.0,16,397,1145,3182,5,7,1145,2005,160200
742,742.0,0,0,1484,6300,6,6,742,1914,128000
1344,0.0,111,525,1344,14375,6,6,819,1958,137500
958,581.0,0,686,1539,10440,8,5,650,1904,157500
1134,1370.0,0,656,2504,11198,5,9,1122,2005,325000
747,0.0,0,528,747,5825,5,4,600,1926,79900
1108,989.0,975,583,2097,9750,6,7,1108,1998,274300
3138,1538.0,2260,884,4676,40094,5,10,3138,2007,184750
786,390.0,0,624,1176,6000,9,6,698,1937,134900
720,0.0,495,0,720,7879,5,4,720,1920,34900
1580,0.0,0,830,1580,11932,5,8,1580,2007,235128
1440,0.0,1440,0,1440,7711,3,4,1440,1977,150000
738,348.5240174672489,193,540,1476,8633,5,6,738,2005,173500
1500,0.0,20,570,1500,8487,5,7,1500,2004,190000
884,464.0,0,216,1348,6000,8,5,884,1925,117000
1200,0.0,661,884,1200,9230,8,5,864,1965,146000
1394,0.0,609,514,1394,9500,5,6,1394,1963,159000
800,832.0,400,484,1632,9130,8,6,800,1966,173000
912,0.0,842,336,912,8521,5,5,912,1967,125000
1370,1254.0,1128,864,2624,22420,6,6,1370,1918,239000
1696,0.0,0,349,1696,13673,5,5,1140,1962,143900
682,548.0,0,440,1230,10440,6,5,440,1910,110000
1549,1178.0,297,440,2727,10570,8,8,853,1932,315000
728,728.0,0,429,1456,15578,5,6,728,2006,172785
864,0.0,375,660,864,6960,6,4,864,1970,120500
970,739.0,0,380,1709,2522,5,6,970,2004,130000
810,855.0,643,528,1665,8400,6,8,810,2001,227000
1372,1274.0,987,656,2646,9900,5,7,1347,1993,260000
798,348.5240174672489,0,595,1640,7226,5,7,798,2003,183000
1014,685.0,440,420,1699,10615,5,3,978,1900,95000
1663,0.0,1116,529,1663,53227,6,4,1364,1954,256000
1728,0.0,1332,504,1728,9100,5,5,1728,1963,125000
1055,790.0,0,462,1845,11218,5,6,1055,1992,189000
1020,831.0,536,440,1851,9760,8,6,822,1964,187000
1489,0.0,0,776,1489,11216,5,8,1489,2006,232600
864,0.0,612,300,864,9100,6,6,864,1959,127500
1256,0.0,830,276,1256,9937,6,5,1256,1965,147500
816,0.0,816,816,816,6600,8,5,816,1982,138000
902,918.0,454,492,1820,13700,6,7,864,1965,201800
912,1215.0,48,833,2127,13125,5,7,1104,1991,238000
1065,0.0,0,461,1065,8892,5,5,1065,1960,126500
1200,0.0,0,312,1200,11340,5,6,1200,1923,125000
1208,0.0,686,632,1208,6762,5,7,1187,2006,206000
1133,1349.0,0,642,2482,12665,5,8,1094,2005,281213
1720,348.5240174672489,919,527,1720,10593,5,7,1720,1996,260400
840,0.0,116,0,840,4388,7,5,672,1930,87000
1294,0.0,1200,496,1294,7153,5,6,1278,1991,179200
1090,0.0,980,450,1090,7024,5,5,1090,2005,157000
1165,348.5240174672489,0,420,2263,12090,5,8,1141,1998,258000
969,0.0,716,440,969,10356,6,5,969,1975,122000
894,0.0,0,1248,894,18000,4,3,894,1935,81000
1028,348.5240174672489,0,360,1028,8960,6,5,1008,1927,115000
979,979.0,484,492,1958,7136,6,6,979,1946,145000
1795,0.0,0,895,1795,9986,5,8,1795,2006,147000
1940,0.0,1646,606,1940,10159,5,9,1930,2009,395192
1178,0.0,1084,439,1178,10000,6,5,1176,1973,157000
810,672.0,156,400,1482,12155,8,6,672,1925,140000
1428,0.0,0,554,1428,12274,5,7,1417,2008,227680
864,0.0,460,338,864,15523,6,5,864,1972,133500
616,495.0,236,200,1111,9084,6,5,616,1941,95000
680,790.0,310,420,1470,9765,8,6,680,1993,185000
1116,0.0,0,440,1116,10000,6,6,1116,1962,160000
864,348.5240174672489,414,288,864,7332,6,6,864,1959,120000
1297,0.0,1213,498,1297,8532,6,5,1297,1954,153000
1113,0.0,607,264,1113,9600,7,5,1113,1950,147000
1501,0.0,679,577,1501,10335,5,7,1490,1999,204000
764,783.0,24,614,1547,8640,5,7,756,2009,215200
991,956.0,222,678,1947,12552,5,7,991,2004,254900
1717,0.0,0,908,1717,11146,5,8,1709,2006,255500
1052,0.0,504,440,1052,8816,7,6,1010,1971,155000
1127,886.0,862,455,2013,9920,5,7,1117,1996,269790
1266,0.0,0,388,1266,3182,5,7,1266,2007,159895
1992,876.0,240,716,2868,16056,5,9,1992,2005,556581
980,1276.0,300,554,2256,8795,5,7,952,2000,236000
1414,0.0,24,494,1414,8773,5,7,1414,2004,185500
936,785.0,814,471,1721,8462,5,6,928,1994,201000
811,741.0,550,434,1552,11475,6,6,713,1975,179900
698,430.0,0,528,1128,7500,4,4,698,1920,68400
1118,0.0,522,358,1118,9880,6,6,1096,1977,171000
1728,0.0,936,574,1728,12640,5,6,1728,1976,150900
1686,762.0,1361,711,2448,46589,7,8,1629,1994,402000
1473,0.0,1324,452,1473,25095,8,5,1437,1968,143000
1187,530.0,902,400,1717,13758,5,7,1156,1990,187500
1166,0.0,655,400,1166,9587,5,7,856,2005,190000
1370,0.0,24,484,1370,6442,5,8,1370,2006,202500
1724,0.0,528,480,1724,17871,5,6,1680,1967,197900
970,739.0,0,380,1709,2522,5,7,970,2004,130000
483,348.5240174672489,358,264,987,1680,3,6,483,1971,89500
901,901.0,352,216,1802,7588,6,7,793,1920,200100
1170,1175.0,503,360,2345,16560,8,6,952,1932,239000
1068,0.0,663,264,1068,8414,8,6,1059,1963,154500
1617,0.0,165,533,1617,8012,5,6,1604,1993,193000
1244,0.0,777,336,1244,11988,6,6,1244,1957,150000
1180,0.0,0,252,1180,11600,5,4,700,1922,137500
520,623.0,0,480,1223,2544,5,7,600,2005,147400
1686,0.0,625,612,1686,10240,6,6,1686,1980,207500
1646,0.0,1513,800,1646,9520,5,8,1638,2007,293077
1144,0.0,594,264,1144,10000,6,5,864,1961,131400
939,858.0,0,639,1797,9245,5,7,939,2006,213500
1224,0.0,0,462,1224,9842,5,4,0,1962,101800
992,873.0,735,839,1865,10316,5,7,992,2000,235000
1056,0.0,846,308,1056,8176,6,5,1056,1958,139000
1966,1174.0,0,820,3140,13518,5,9,1926,2008,485000
1212,0.0,506,492,1212,8471,7,6,506,1977,151000
1694,0.0,1369,636,1694,10084,5,8,1686,2004,307000
802,709.0,714,413,1511,11207,5,6,802,1997,185000
1057,0.0,731,246,1057,7922,7,5,1057,1953,109000
1246,1044.0,0,560,2290,11340,6,4,777,1885,122500
1377,806.0,1002,786,2183,13837,5,7,1204,1988,229000
1699,1523.0,1470,594,3222,12376,5,7,1673,1990,320000
909,807.0,0,512,1716,8750,5,7,880,1996,191000
1342,0.0,251,457,1342,9790,5,6,1372,1967,161500
1504,0.0,16,437,1504,3182,5,7,1346,2005,191000
1053,348.5240174672489,0,648,1992,9375,5,8,1053,2003,250000
624,628.0,510,462,1252,2160,5,7,600,1999,160000
999,0.0,588,264,999,7758,7,5,999,1962,132500
741,622.0,0,528,1363,7740,7,4,622,1910,125500
1165,0.0,312,490,1165,9020,7,6,1127,1966,174900
1668,0.0,1059,702,1668,11248,5,9,1626,2002,285000
1158,1218.0,0,853,2376,14215,5,8,1158,2005,325300
889,551.0,0,352,1440,5000,4,5,540,1900,79000
794,676.0,182,388,1470,13869,6,6,794,1997,177000
1541,0.0,1201,532,1541,12182,5,7,1541,2005,220000
1440,0.0,133,0,1440,12108,4,4,1440,1955,118000
1146,0.0,786,438,1146,9590,5,7,868,2003,187500
1494,0.0,437,481,1494,9549,5,8,1494,1995,270000
1462,348.5240174672489,1170,738,2224,8834,5,9,1462,2004,350000
820,523.0,0,186,1343,7681,6,5,731,1921,154900
1210,1242.0,281,683,2452,16226,5,8,1028,1998,267000
